Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.2,both,restaurant,restaurant-pricerange,Mapping,Categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
v2.2,both,restaurant,restaurant-area,Non-mapping,Categorical,0.8107704829083017,0.6673026472692584,0.5287226001511716,0.9043309631544926
v2.2,both,restaurant,restaurant-food,Mapping,Categorical,0.9064026044492676,0.8439620081411127,0.7434262948207171,0.9759414225941424
v2.2,both,restaurant,restaurant-name,Mapping,Non-categorical,0.7181226261530114,0.2546628407460545,0.1488469601677149,0.8808933002481389
v2.2,both,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9485892566467716,0.8566023458191447,0.7764060356652949,0.9552742616033756
v2.2,both,restaurant,restaurant-bookpeople,Mapping,Categorical,0.7947639717851329,0.6193710691823899,0.4619136960600375,0.9396946564885496
v2.2,both,restaurant,restaurant-booktime,Mapping,Non-categorical,0.8463103635377103,0.6830769230769231,0.5209044368600683,0.991876523151909
v2.2,both,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.9599837221920782,0.6651532349602722,0.5017123287671232,0.9865319865319864
v2.2,both,taxi,taxi-destination,Mapping,Non-categorical,0.9211882799782962,0.242503259452412,0.1565656565656565,0.5375722543352601
v2.2,both,taxi,taxi-departure,Non-mapping,Non-categorical,0.922680412371134,0.188034188034188,0.1575178997613365,0.2332155477031802
v2.2,both,taxi,taxi-arriveby,Non-mapping,Non-categorical,0.9525230602278894,0.5218579234972678,0.3812375249500998,0.8268398268398268
v2.2,onto,hotel,hotel-pricerange,Non-mapping,Categorical,0.842919153553988,0.3840425531914893,0.4871794871794871,0.3169446883230904
v2.2,onto,hotel,hotel-type,Non-mapping,Categorical,0.8102278893109062,0.2249307479224376,0.2942028985507246,0.1820627802690582
v2.2,onto,hotel,hotel-parking,Non-mapping,Categorical,0.8510580575149214,0.0334507042253521,0.0473815461346633,0.0258503401360544
v2.2,onto,hotel,hotel-bookday,Non-mapping,Categorical,0.9267498643516008,0.7213622291021672,0.6760154738878144,0.7732300884955752
v2.2,onto,hotel,hotel-bookpeople,Mapping,Categorical,0.9158979924036896,0.6774193548387096,0.7161716171617162,0.6426456071076012
v2.2,onto,hotel,hotel-bookstay,Mapping,Categorical,0.9712425393380358,0.8900414937759336,0.8693009118541033,0.9117959617428268
v2.2,onto,hotel,hotel-stars,Mapping,Categorical,0.9366521975040696,0.8096208724011416,0.75,0.8795394154118689
v2.2,onto,hotel,hotel-internet,Non-mapping,Categorical,0.847802495930548,0.0070796460176991,0.0303030303030303,0.0040080160320641
v2.2,onto,hotel,hotel-name,Mapping,Non-categorical,0.7668204015192621,0.2390438247011952,0.1511758118701008,0.5708245243128964
v2.2,onto,hotel,hotel-area,Non-mapping,Categorical,0.773060227889311,0.3727034120734908,0.2679245283018868,0.6120689655172413
v2.2,onto,train,train-arriveby,Non-mapping,Non-categorical,0.8244709712425393,0.5680907877169559,0.5050445103857567,0.6491228070175439
v2.2,onto,train,train-departure,Mapping,Non-categorical,0.7110689093868693,0.3698224852071006,0.2648305084745763,0.6127450980392157
v2.2,onto,train,train-day,Non-mapping,Categorical,0.8878187737384698,0.8253431890179512,0.7894949494949495,0.8646017699115044
v2.2,onto,train,train-bookpeople,Mapping,Categorical,0.8814432989690721,0.3955739972337483,0.9285714285714286,0.2513181019332162
v2.2,onto,train,train-leaveat,Non-mapping,Non-categorical,0.7803852414541509,0.4587094617184888,0.3271340009537434,0.767337807606264
v2.2,onto,train,train-destination,Mapping,Non-categorical,0.6938415626695605,0.3199758963543235,0.2445877475817595,0.4625435540069686
v2.2,onto,attraction,attraction-area,Non-mapping,Categorical,0.7973412913727618,0.3593481989708404,0.4923619271445358,0.2829169480081026
v2.2,onto,attraction,attraction-name,Mapping,Non-categorical,0.773060227889311,0.2006688963210702,0.1502145922746781,0.302158273381295
v2.2,onto,attraction,attraction-type,Mapping,Categorical,0.8579761258817146,0.5759416767922236,0.7917594654788419,0.452577975811585
v2.2,onto,restaurant,restaurant-pricerange,Mapping,Categorical,0.8756104177970699,0.7314787701317716,0.6923503325942351,0.7752948479205463
v2.2,onto,restaurant,restaurant-area,Non-mapping,Categorical,0.8107704829083017,0.6673026472692584,0.5287226001511716,0.9043309631544926
v2.2,onto,restaurant,restaurant-food,Mapping,Categorical,0.8914812805208898,0.8203861697350697,0.7095145631067962,0.9723257051623204
v2.2,onto,restaurant,restaurant-name,Mapping,Non-categorical,0.7201573521432447,0.2634773295251696,0.1544579321892005,0.8956310679611651
v2.2,onto,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9485892566467716,0.8566023458191447,0.7764060356652949,0.9552742616033756
v2.2,onto,restaurant,restaurant-bookpeople,Mapping,Categorical,0.9422137818773738,0.845203488372093,0.8098885793871866,0.8837386018237082
v2.2,onto,restaurant,restaurant-booktime,Mapping,Non-categorical,0.9621540965816604,0.8983606557377048,0.8253012048192772,0.9856115107913668
v2.2,onto,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.9599837221920782,0.6651532349602722,0.5017123287671232,0.9865319865319864
v2.2,onto,taxi,taxi-destination,Mapping,Non-categorical,0.9289202387411828,0.2681564245810056,0.3298969072164948,0.2258823529411764
v2.2,onto,taxi,taxi-departure,Non-mapping,Non-categorical,0.922680412371134,0.188034188034188,0.1575178997613365,0.2332155477031802
